Va_rms_pre,Va_rms_flt,Vb_rms_flt,Vc_rms_flt,Va_sag,Vb_sag,Vc_sag,Ia_rms_flt,Ib_rms_flt,Ic_rms_flt,Ia_peak,Ib_peak,Ic_peak,I_max_peak,Va_H2,Va_H3,Va_H5,Ia_H2,Ia_H3,Ib_H2,Ib_H3,Va_thd,Ia_thd,V0_ratio,V2_ratio,V_imbalance,I_imbalance,Ib_Ia_ratio,Ic_Ia_ratio,fault_bus,fault_type,label,Rf_pu
1.03264,0.05208,0.05179,0.052,0.94956,0.94984,0.94967,0.79185,0.7911,0.792,1.12479,1.13345,1.12563,1.13345,0.01132,0.00527,0.00473,0.00047,0.00038,0.00054,0.00026,0.02446,0.0013,0.0,0.0,0.00317,0.00069,0.99905,1.00019,1,Three_Phase,1,0.0
1.03235,0.05245,0.05191,0.05191,0.94919,0.94976,0.94974,0.79187,0.79194,0.79137,1.12731,1.12869,1.12737,1.12869,0.00514,0.00297,0.0143,0.00066,0.00072,0.00091,0.00063,0.02756,0.00188,0.0,0.0,0.00696,0.00044,1.00009,0.99938,1,Three_Phase,1,0.001
1.03288,0.05198,0.05191,0.05194,0.94967,0.94974,0.9497,0.79201,0.79146,0.79164,1.12775,1.12542,1.12293,1.12775,0.00614,0.01791,0.00948,0.00048,0.00042,0.00065,0.00059,0.0349,0.00121,0.0,0.0,0.0007,0.00038,0.99931,0.99954,1,Three_Phase,1,0.001129
1.03273,0.05218,0.0525,0.05207,0.94947,0.94917,0.94962,0.79204,0.79167,0.79199,1.12336,1.12627,1.13001,1.13001,0.01017,0.00645,0.01342,0.00028,0.00014,0.00037,0.00036,0.02667,0.00207,0.0,0.0,0.00477,0.0003,0.99953,0.99995,1,Three_Phase,1,0.001274
1.03294,0.05152,0.05192,0.05224,0.95012,0.94974,0.94942,0.79147,0.79119,0.79147,1.12966,1.12496,1.1245,1.12966,0.00736,0.00516,0.00814,0.00039,0.00071,0.00065,0.00029,0.02849,0.00143,0.0,0.0,0.00714,0.00024,0.99965,1.00001,1,Three_Phase,1,0.001438
1.0331,0.05229,0.05184,0.05223,0.94938,0.94979,0.9494,0.79146,0.79192,0.79152,1.12821,1.12974,1.12837,1.12974,0.00936,0.01491,0.00654,0.00029,0.00042,0.00054,0.00076,0.02798,0.00146,0.0,0.0,0.00541,0.00036,1.00058,1.00007,1,Three_Phase,1,0.001624
1.03284,0.05228,0.05245,0.05179,0.94938,0.9492,0.94987,0.79178,0.79143,0.79196,1.12488,1.126,1.12676,1.12676,0.00624,0.0108,0.01313,0.00053,0.00057,0.00015,0.00058,0.02875,0.0016,0.0,0.0,0.00741,0.00037,0.99956,1.00023,1,Three_Phase,1,0.001833
1.03302,0.05178,0.05169,0.05163,0.94987,0.94998,0.95002,0.79115,0.79207,0.79173,1.12931,1.12458,1.12559,1.12931,0.00382,0.00222,0.00287,0.00063,0.0005,0.00062,0.00029,0.02416,0.00154,0.0,0.0,0.00155,0.00063,1.00116,1.00074,1,Three_Phase,1,0.002069
1.03324,0.05209,0.05148,0.05136,0.94959,0.95015,0.95028,0.79174,0.79163,0.79126,1.1279,1.12973,1.12327,1.12973,0.01366,0.01773,0.00686,0.00068,0.0007,0.00019,0.00053,0.03246,0.00145,0.0,0.0,0.00866,0.00036,0.99986,0.99939,1,Three_Phase,1,0.002336
1.03269,0.05209,0.05219,0.05185,0.94956,0.94948,0.9498,0.7917,0.79195,0.79221,1.13147,1.13414,1.13268,1.13414,0.00188,0.00552,0.00855,0.00032,0.00015,0.00018,0.00027,0.01837,0.00162,0.0,0.0,0.00375,0.00032,1.00031,1.00064,1,Three_Phase,1,0.002637
1.03265,0.05156,0.05165,0.05173,0.95007,0.95001,0.9499,0.79126,0.79141,0.79156,1.12679,1.12781,1.12805,1.12805,0.00659,0.01278,0.00382,0.00064,0.00053,0.0005,0.00026,0.02633,0.00148,0.0,0.0,0.00162,0.00019,1.00019,1.00038,1,Three_Phase,1,0.002976
1.03293,0.05211,0.05248,0.052,0.94956,0.94921,0.94964,0.7919,0.7909,0.79206,1.12655,1.12861,1.12639,1.12861,0.00365,0.00988,0.01687,0.00014,0.00063,0.00025,0.00061,0.02861,0.00141,0.0,0.0,0.00547,0.00091,0.99874,1.00021,1,Three_Phase,1,0.00336
1.03317,0.05192,0.05186,0.05199,0.94975,0.94978,0.94967,0.79145,0.79159,0.79172,1.12203,1.13014,1.12692,1.13014,0.01105,0.00894,0.004,0.00092,0.00088,0.00047,0.00032,0.02748,0.00215,0.0,0.0,0.00129,0.00018,1.00019,1.00035,1,Three_Phase,1,0.003793
1.03303,0.05174,0.05179,0.05154,0.94992,0.94988,0.9501,0.79161,0.79088,0.79126,1.12429,1.13819,1.12621,1.13819,0.00847,0.0056,0.00332,0.00052,0.00024,0.00045,0.00108,0.02259,0.00144,0.0,0.0,0.00284,0.00047,0.99907,0.99956,1,Three_Phase,1,0.004281
