fault_type,fault_bus,Rf_pu,Vf_mag,|Z1| pu,|Z2| pu,|Z0| pu,|Ia1| pu,|Ia2| pu,|Ia0| pu,|If_total| pu,V_sag_fbus
Three_Phase,1,0.0,1.06,3.41083,3.41083,10.23248,0.31078,0.0,0.0,0.31078,1.06
Three_Phase,2,0.0,1.045,3.43254,3.43254,10.29761,0.30444,0.0,0.0,0.30444,1.045
Three_Phase,3,0.0,1.02228,3.42172,3.42172,10.26516,0.29876,0.0,0.0,0.29876,1.02228
Three_Phase,4,0.0,1.02154,3.42147,3.42147,10.26442,0.29857,0.0,0.0,0.29857,1.02154
Three_Phase,5,0.0,1.01557,3.38533,3.38533,10.15599,0.29999,0.0,0.0,0.29999,1.01557
Line_to_Ground,1,0.0,1.06,3.41083,3.41083,10.23248,0.06216,0.06216,0.06216,0.18647,0.17737
Line_to_Ground,2,0.0,1.045,3.43254,3.43254,10.29761,0.06089,0.06089,0.06089,0.18266,0.17486
Line_to_Ground,3,0.0,1.02228,3.42172,3.42172,10.26516,0.05975,0.05975,0.05975,0.17926,0.17106
Line_to_Ground,4,0.0,1.02154,3.42147,3.42147,10.26442,0.05971,0.05971,0.05971,0.17914,0.17094
Line_to_Ground,5,0.0,1.01557,3.38533,3.38533,10.15599,0.06,0.06,0.06,0.17999,0.16994
Line_to_Line,1,0.0,1.06,3.41083,3.41083,10.23248,0.15539,0.15539,0.0,0.26914,0.35333
Line_to_Line,2,0.0,1.045,3.43254,3.43254,10.29761,0.15222,0.15222,0.0,0.26365,0.34833
Line_to_Line,3,0.0,1.02228,3.42172,3.42172,10.26516,0.14938,0.14938,0.0,0.25874,0.34076
Line_to_Line,4,0.0,1.02154,3.42147,3.42147,10.26442,0.14928,0.14928,0.0,0.25857,0.34051
Line_to_Line,5,0.0,1.01557,3.38533,3.38533,10.15599,0.15,0.15,0.0,0.2598,0.33852
Double_Line_to_Ground,1,0.0,1.06,3.41083,3.41083,10.23248,0.17759,0.13319,0.0444,0.55451,0.60571
Double_Line_to_Ground,2,0.0,1.045,3.43254,3.43254,10.29761,0.17397,0.13047,0.04349,0.54321,0.59714
Double_Line_to_Ground,3,0.0,1.02228,3.42172,3.42172,10.26516,0.17072,0.12804,0.04268,0.53308,0.58416
Double_Line_to_Ground,4,0.0,1.02154,3.42147,3.42147,10.26442,0.17061,0.12796,0.04265,0.53273,0.58374
Double_Line_to_Ground,5,0.0,1.01557,3.38533,3.38533,10.15599,0.17142,0.12857,0.04286,0.53527,0.58032
